"","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
"1",54,3.21165561872534,-1.25775255072533,12.7333254686319,-11.2856500082022,-10.5001369247939,9.61381197370855,6.02807586854231,14.6491922623191,2.38929183008932,2.00264592561924,3.94763249672413,4.46136962391994,-0.784534145197733
"2",59,3.27373726048348,-0.346076556554934,11.8461109545763,-9.89005107900309,-10.0000567067728,10.6931213725128,4.8424375361033,13.6298854276015,3.27765105858747,2.29003963563679,4.39836187774254,4.05795997878846,-2.32322444207591
"3",52,3.45441076727323,-1.18382696076517,11.7762508189174,-10.2561788874718,-11.0575940019658,9.61614533597633,4.27965915509979,14.4095977391536,2.54325245985431,2.50527387437184,4.24811386313252,3.76025266102918,-1.76266442387156
"4",70,2.91968118387662,-1.07772765190442,12.4013165005161,-10.9927738458905,-10.5145312885369,10.0570114958045,5.64775219474958,14.7276933998669,2.69727740658803,2.33796185882313,4.5612998878802,4.33746509151391,-1.02629149983502
"5",53,2.57786144997002,-0.533031121797154,11.8961203611982,-11.0257736602915,-10.4070024901212,10.3804349298215,5.32240225609806,14.7240715082397,2.95651790405918,2.65435328113899,4.55497880246576,4.47320060392548,-1.78480484263235
"6",53,3.3272507909256,-1.32753762889302,12.3904613412021,-11.0194796528763,-10.3900697971308,9.70204495414073,5.37596565108166,14.2681467382009,2.78389540655936,2.44058289977466,4.49177818761816,4.41943731523029,-1.0407047403512
"7",35,3.73333843696931,-1.58687568293335,12.5482486256496,-11.016814949231,-10.584796555795,9.65873634785693,5.11051825445468,14.8442119021074,2.5401862037944,2.31297910639664,4.46482434486669,3.99792417783332,-0.866494495158696
"8",42,2.99335037516072,-1.38291433712024,12.7928531037182,-10.9181283447113,-9.83827337960768,9.83549276044607,5.43402243713301,14.9855755756705,2.94670531596085,1.81259360297681,4.90722022248162,4.41173228699527,-1.03182462802902
"9",55,3.15032282972222,-1.9877117128549,12.3304797954116,-10.7412078724883,-10.7140635660822,9.5650988420445,5.02093392018284,14.3477981854484,2.88081112422354,2.19223469577595,3.76674732041645,4.20006036748948,-1.55646997220113
"10",47,2.78644071436062,-1.25968667856693,11.8597425878771,-11.1743109556907,-10.2910848333546,10.046465777013,5.29246673768228,14.8944900912755,2.53829978019282,2.17401739626941,4.22042994685539,4.45744536294645,-1.41709815423427
"11",51,2.92264870110005,-1.22493216426409,13.1234066041091,-9.40030414685364,-9.79700875934987,9.39802985109455,4.80072398169541,14.9912268799941,3.06770359125723,2.34600685996801,4.51126699223745,4.39981953495254,-1.16163057218017
"12",39,3.36257619988299,-0.930930754608116,12.0006600571727,-10.9472177803446,-10.9598828034461,10.1900269797393,5.66007170395654,14.1132492248463,2.76213800455363,3.00576505623606,3.74895854899909,3.80702819900352,-1.06498337997561
"13",37,3.28557151406075,-1.01447475317042,12.146570139322,-10.952864351762,-9.72872550932996,9.79757432660771,5.48598927582079,15.2635417288894,2.56017838447719,1.94736060483649,4.34105338516552,4.2636137039945,-1.25204828066811
"14",29,3.28148662997855,-1.0848517617237,12.9826789266321,-10.8214499240006,-10.5717166590647,10.1180464824252,5.23760285516802,14.4624089256394,2.9368542682534,2.55374917333252,4.41512034833614,4.56452936302965,-1.09023825664397
"15",49,3.03007592043951,-0.961674656254123,12.2888095895029,-11.3753250787305,-9.92799083100669,10.0856682243222,5.40549052518385,14.8131001814473,2.61598890333949,2.29656629324422,4.59695858127101,4.25315475464318,-1.12218693404286
